Date,Date,Year,Month,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
18-10-20,20201018,2020,10,18,AK,12016,4072,493,,548,2519,526,522,452,2884,964,6654,4398,67,25,3,,7,24,7,0,0,1,1,61,5
18-10-20,20201018,2020,10,18,AL,172626,53458,36048,,575,,,,13879,68678,8015,72793,91816,2788,1454,1006,,7,,,,67,253,71,2216,500
18-10-20,20201018,2020,10,18,AR,99066,58151,20110,,1089,272,2377,739,6043,10285,16246,82819,1,1704,1085,321,,18,2,45,8,76,149,90,1614,1
18-10-20,20201018,2020,10,18,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
18-10-20,20201018,2020,10,18,AZ,231149,60107,7158,71227,2527,13632,,,7805,68693,71227,91229,68693,5827,2467,180,1761,66,616,,,98,639,1761,3427,639
18-10-20,20201018,2020,10,18,CA,867317,106404,25928,373742,33970,1734,3276,6846,59251,256166,373742,237409,256166,16943,5032,1258,8128,1963,53,79,128,88,214,8128,8601,214
18-10-20,20201018,2020,10,18,CO,85302,32414,3241,31374,1543,503,315,1177,639,14100,31374,39832,14096,2042,1277,125,475,63,13,6,32,10,37,475,1525,42
18-10-20,20201018,2020,10,18,CT,62830,21505,7767,12235,914,69,,517,846,18977,12235,31618,18977,4542,3320,668,404,49,2,,36,21,42,404,4096,42
18-10-20,20201018,2020,10,18,DC,16370,3670,8179,,269,38,45,,4083,86,4094,10895,1381,641,67,479,81,8,,,,0,6,81,554,6
18-10-20,20201018,2020,10,18,DE,23093,8910,6045,5059,315,,,,1075,1689,5059,16345,1689,665,431,172,49,1,,,,12,0,49,616,0
